what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365656448984
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365656452390
activated,editor,org.eclipse.wst.jsdt.ui,1.1.101.v201108151912,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1365656452468
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.navigate.openResource",1365656452468
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365656453843
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1365656453875
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1365656454390
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365656458031
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1365656459359
started,bundle,org.eclipse.rse.services,3.2.101.R33x_v201109141647,"org.eclipse.rse.services",1365656461812
started,bundle,org.eclipse.rse.core,3.2.1.R33x_v201109141647,"org.eclipse.rse.core",1365656461906
started,bundle,org.eclipse.rse.ui,3.2.1.R33x_v201109141647,"org.eclipse.rse.ui",1365656462234
started,bundle,org.eclipse.rse.subsystems.files.core,3.2.101.R33x_v201107181530,"org.eclipse.rse.subsystems.files.core",1365656462250
started,bundle,org.eclipse.rse.subsystems.files.local,2.1.200.v201101042155,"org.eclipse.rse.subsystems.files.local",1365656462250
started,bundle,org.eclipse.rse.files.ui,3.2.1.R33x_v201109141647,"org.eclipse.rse.files.ui",1365656462265
started,bundle,org.eclipse.rse.subsystems.shells.core,3.1.201.R33x_v201106281309,"org.eclipse.rse.subsystems.shells.core",1365656462312
started,bundle,org.eclipse.rse.subsystems.shells.local,2.1.300.v201101042155,"org.eclipse.rse.subsystems.shells.local",1365656462328
started,bundle,org.eclipse.rse.connectorservice.local,2.1.300.v201101042155,"org.eclipse.rse.connectorservice.local",1365656462359
started,bundle,org.eclipse.rse.services.local,2.1.300.v201105311250,"org.eclipse.rse.services.local",1365656462390
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365656463281
error,log,,,"Core exception while retrieving the content description",1365656463437
error,log,,,"Core exception while retrieving the content description",1365656463453
error,log,,,"Core exception while retrieving the content description",1365656463875
error,log,,,"Core exception while retrieving the content description",1365656463875
error,log,,,"Core exception while retrieving the content description",1365656464046
error,log,,,"Core exception while retrieving the content description",1365656464046
error,log,,,"Core exception while retrieving the content description",1365656464234
error,log,,,"Core exception while retrieving the content description",1365656464234
error,log,,,"Core exception while retrieving the content description",1365656466671
error,log,,,"Core exception while retrieving the content description",1365656466671
error,log,,,"Core exception while retrieving the content description",1365656466687
error,log,,,"Core exception while retrieving the content description",1365656466687
error,log,,,"Core exception while retrieving the content description",1365656466687
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365656474734
